original_name,product_id,corrected_name
cumi kering,8e85e87c-5df8-453e-9bc0-ca9ecb6a0810,Local orange
apple lokal,9a9a302a-a137-453a-aa4a-64a4a73fcc1a,Apple
sauto indomilk putih pouch,49c78cec-fbfa-4346-a13b-af02769d0ed1,Condensed milk
sugar,01a7ca2a-8fb6-4359-acd3-8b40e6e128f9,Sugar white
romaine,manual_12_20250421063622,Lettuce romaine
quinoa black,fb212d1d-c545-46b5-8090-9c46adc59464,Quinoa
quinoa white,fb212d1d-c545-46b5-8090-9c46adc59464,Quinoa
biotiful 16 liter,new_25_20250421063655,biotiful 16 liter
flour biasa,e50d2ca0-a85b-48cb-8ac2-8e4f81d7e38b,Wheat flour
hand glove M black,829d439a-c61f-44ba-b457-8964f9edbbd4,Packaging and cash area
king paprica,e8abc91b-51ad-4ab9-a1e8-c96f56f02971,Paprika fresh
paprica merah,e8abc91b-51ad-4ab9-a1e8-c96f56f02971,Paprika
lumelagn,manual_23_20250421074603,Orange local
